c crit_0.5 crit_0.75 crit_0.85 crit_0.9 crit_0.95 crit_0.975 crit_0.99 crit_0.995
0.0 0.292 0.395 0.467 0.522 0.617 0.711 0.836 0.931
0.05 0.295 0.399 0.471 0.527 0.623 0.719 0.845 0.941
0.10 0.298 0.403 0.476 0.534 0.631 0.728 0.856 0.954
0.15 0.301 0.408 0.483 0.541 0.640 0.738 0.869 0.969
0.20 0.305 0.414 0.490 0.549 0.650 0.751 0.885 0.986
0.25 0.309 0.421 0.498 0.559 0.662 0.765 0.902 1.007
0.30 0.314 0.429 0.508 0.570 0.676 0.782 0.923 1.030
0.35 0.320 0.438 0.519 0.583 0.692 0.802 0.947 1.057
0.40 0.327 0.448 0.532 0.598 0.711 0.824 0.974 1.089
0.45 0.334 0.469 0.547 0.615 0.732 0.850 1.006 1.125
0.50 0.342 0.472 0.563 0.636 0.757 0.879 1.043 1.167
